narcissism,gender,age
21,male,20-29
13,male,20-29
9,male,40-49
7,male,30-39
27,male,50-59
4,male,30-39
11,female,20-29
38,female,20-29
9,male,20-29
15,female,20-29
30,female,30-39
10,male,50-59
16,male,30-39
29,female,30-39
6,male,30-39
7,female,30-39
11,female,30-39
23,male,30-39
21,female,50-59
25,female,20-29
3,male,50-59
20,male,20-29
3,female,40-49
3,female,20-29
15,male,30-39
14,male,20-29
15,male,20-29
29,male,50-59
5,female,40-49
12,male,20-29
11,female,20-29
5,female,30-39
3,female,15-19
4,male,50-59
6,male,20-29
20,male,15-19
13,male,20-29
2,female,30-39
15,male,30-39
19,female,30-39
11,female,20-29
3,female,50-59
25,male,20-29
13,male,50-59
14,female,20-29
24,female,20-29
17,female,30-39
4,female,30-39
25,male,30-39
5,male,20-29
17,female,40-49
20,male,20-29
5,male,20-29
23,male,40-49
15,female,40-49
14,male,30-39
3,male,15-19
8,female,40-49
26,female,20-29
3,male,30-39
11,female,20-29
37,male,30-39
3,male,15-19
3,female,40-49
4,male,30-39
8,female,40-49
6,female,30-39
11,male,20-29
6,male,20-29
14,male,30-39
5,male,20-29
8,male,30-39
6,female,40-49
6,female,20-29
20,male,20-29
5,female,30-39
39,female,20-29
6,male,30-39
15,male,30-39
16,male,15-19
12,female,30-39
22,male,15-19
12,female,40-49
6,female,40-49
15,male,20-29
15,female,30-39
0,male,40-49
14,female,15-19
2,female,30-39
6,male,20-29
12,male,30-39
10,female,30-39
22,female,30-39
10,female,30-39
14,female,40-49
2,female,50-59
20,male,40-49
21,female,50-59
30,male,20-29
19,female,20-29
9,female,30-39
28,female,20-29
9,male,30-39
6,female,20-29
17,female,20-29
7,male,20-29
11,male,20-29
8,female,20-29
23,male,15-19
9,female,40-49
25,male,40-49
29,male,40-49
7,male,50-59
12,male,15-19
13,male,50-59
5,male,20-29
5,male,50-59
21,female,50-59
35,female,20-29
10,female,15-19
6,female,30-39
14,female,40-49
6,female,40-49
8,male,20-29
6,female,40-49
26,male,20-29
21,female,20-29
21,female,20-29
28,female,30-39
22,female,20-29
23,male,20-29
19,male,30-39
4,male,20-29
16,male,50-59
14,female,15-19
6,female,20-29
27,male,40-49
10,female,30-39
20,female,20-29
9,female,30-39
1,male,40-49
13,male,40-49
23,male,20-29
3,female,30-39
22,male,40-49
39,female,20-29
9,male,30-39
6,female,40-49
21,male,30-39
22,male,40-49
14,female,50-59
4,male,30-39
39,female,50-59
3,male,40-49
10,male,40-49
9,male,20-29
33,male,20-29
26,male,15-19
20,female,40-49
14,male,40-49
5,male,30-39
17,female,20-29
7,male,40-49
20,male,30-39
2,female,40-49
1,male,40-49
6,female,40-49
9,male,30-39
17,male,20-29
33,male,15-19
9,male,20-29
10,male,20-29
17,male,30-39
27,female,20-29
26,male,30-39
3,male,40-49
10,male,20-29
2,male,30-39
2,male,40-49
4,female,30-39
4,male,30-39
5,male,50-59
32,female,40-49
3,male,15-19
3,male,40-49
12,female,40-49
3,male,30-39
25,male,30-39
37,female,30-39
8,male,40-49
1,male,40-49
10,male,20-29
8,female,30-39
3,male,50-59
18,male,30-39
27,female,20-29
34,male,15-19
9,male,30-39
6,female,20-29
8,male,40-49
16,male,30-39
3,male,15-19
33,male,15-19
24,female,40-49
10,male,20-29
5,female,40-49
3,female,15-19
30,male,30-39
19,male,20-29
31,male,20-29
2,male,30-39
7,male,20-29
22,male,20-29
14,male,15-19
14,female,15-19
38,male,15-19
8,male,20-29
8,male,40-49
1,female,30-39
11,male,30-39
32,male,40-49
21,male,30-39
31,male,30-39
4,male,20-29
18,female,20-29
11,male,20-29
27,male,20-29
18,female,20-29
5,male,20-29
14,female,20-29
21,male,20-29
21,male,40-49
11,female,15-19
14,female,20-29
15,female,50-59
7,female,20-29
17,female,20-29
28,male,20-29
19,male,30-39
15,male,20-29
9,female,20-29
7,female,50-59
9,female,20-29
20,male,20-29
7,female,40-49
4,male,50-59
26,female,30-39
13,female,50-59
9,female,30-39
16,female,40-49
10,male,50-59
36,female,40-49
2,male,40-49
20,female,15-19
28,female,30-39
19,male,30-39
23,female,30-39
13,male,50-59
5,female,50-59
6,male,20-29
7,female,40-49
4,male,40-49
9,female,20-29
9,male,20-29
19,male,30-39
5,female,40-49
9,male,15-19
26,male,20-29
12,male,15-19
15,male,20-29
13,male,20-29
12,male,20-29
6,male,20-29
9,female,40-49
9,female,15-19
27,female,15-19
19,male,15-19
1,male,15-19
24,male,15-19
19,female,15-19
10,female,15-19
11,female,15-19
8,female,15-19
4,male,15-19
9,male,15-19
22,female,15-19
18,male,20-29
28,female,40-49
25,male,30-39
6,male,30-39
4,female,20-29
14,female,15-19
12,female,30-39
1,female,30-39
11,female,40-49
12,male,40-49
8,male,40-49
8,male,50-59
5,female,40-49
12,male,20-29
10,male,40-49
5,male,20-29
15,female,40-49
10,female,20-29
15,male,50-59
13,female,30-39
6,female,20-29
30,male,20-29
8,male,40-49
12,male,20-29
7,female,50-59
37,male,30-39
8,female,50-59
13,male,15-19
11,female,20-29
17,male,20-29
7,male,50-59
19,male,30-39
26,male,40-49
15,male,50-59
16,male,30-39
8,male,30-39
10,male,20-29
33,male,15-19
11,female,15-19
6,male,20-29
11,male,20-29
17,female,30-39
8,female,50-59
13,male,20-29
16,female,20-29
10,male,30-39
35,male,20-29
6,male,40-49
10,male,20-29
14,male,30-39
12,male,40-49
24,male,20-29
10,male,20-29
14,male,40-49
2,female,30-39
9,female,30-39
17,female,15-19
39,female,15-19
25,male,40-49
2,male,50-59
25,male,30-39
22,male,15-19
10,female,50-59
4,female,40-49
38,male,20-29
9,female,30-39
11,female,50-59
13,male,15-19
14,male,30-39
12,male,20-29
8,male,20-29
8,male,20-29
7,male,15-19
7,female,30-39
29,male,15-19
23,female,50-59
18,female,30-39
15,male,20-29
15,male,40-49
3,female,15-19
18,male,30-39
12,male,20-29
9,male,30-39
14,male,20-29
8,male,20-29
11,male,50-59
37,male,30-39
22,male,20-29
3,female,50-59
40,male,20-29
38,female,20-29
7,male,50-59
27,male,20-29
9,male,20-29
19,male,20-29
13,male,40-49
10,female,30-39
16,male,40-49
10,male,15-19
10,female,40-49
11,male,40-49
5,female,30-39
10,male,20-29
8,male,15-19
6,male,50-59
13,female,20-29
10,male,30-39
14,female,30-39
16,female,40-49
11,female,15-19
5,female,40-49
7,female,50-59
16,male,30-39
8,male,15-19
7,female,50-59
11,female,50-59
4,male,40-49
3,male,40-49
11,male,20-29
36,female,15-19
17,female,20-29
13,male,20-29
24,male,20-29
9,female,20-29
12,male,50-59
20,male,30-39
15,female,20-29
16,male,50-59
16,male,20-29
6,male,40-49
27,female,30-39
17,female,40-49
31,male,20-29
21,male,20-29
26,female,40-49
17,female,40-49
13,male,30-39
27,female,30-39
23,male,20-29
21,male,30-39
11,female,15-19
8,female,20-29
14,female,15-19
12,male,20-29
10,male,50-59
37,female,40-49
33,female,20-29
32,male,30-39
16,male,20-29
20,male,15-19
2,female,40-49
7,male,50-59
11,male,20-29
10,male,20-29
7,female,15-19
10,female,30-39
34,male,20-29
21,male,40-49
26,female,20-29
8,female,20-29
9,male,40-49
11,female,50-59
3,female,30-39
6,male,20-29
6,female,20-29
12,male,30-39
8,female,30-39
26,male,30-39
8,male,20-29
27,male,40-49
9,male,30-39
14,male,30-39
3,male,20-29
3,male,20-29
15,male,20-29
14,male,30-39
22,male,20-29
9,female,50-59
5,female,20-29
17,male,30-39
5,male,20-29
16,male,20-29
28,male,30-39
12,male,50-59
18,male,30-39
13,male,30-39
23,male,20-29
13,female,20-29
4,male,30-39
4,female,30-39
16,male,30-39
7,female,30-39
6,male,20-29
14,female,15-19
30,female,20-29
11,female,20-29
25,female,20-29
11,male,50-59
6,male,40-49
11,male,20-29
28,female,30-39
26,male,30-39
12,female,30-39
12,male,20-29
15,female,50-59
14,female,20-29
15,male,40-49
14,male,15-19
5,female,20-29
16,male,20-29
32,male,15-19
16,female,20-29
14,male,30-39
21,male,40-49
15,male,20-29
25,female,20-29
30,male,20-29
6,male,30-39
13,male,30-39
9,female,50-59
16,male,20-29
8,female,40-49
1,male,20-29
9,female,15-19
11,male,40-49
21,male,30-39
9,male,20-29
9,female,30-39
14,male,40-49
7,male,50-59
16,male,20-29
7,male,30-39
16,male,15-19
22,male,20-29
8,female,50-59
3,male,20-29
20,female,30-39
3,male,30-39
10,female,40-49
11,male,20-29
24,male,20-29
22,male,20-29
9,male,20-29
15,male,40-49
6,male,50-59
31,male,30-39
18,female,30-39
26,male,20-29
12,male,30-39
11,female,30-39
12,female,20-29
11,female,20-29
21,male,15-19
2,female,40-49
19,female,30-39
24,male,20-29
17,male,20-29
18,male,20-29
17,female,20-29
19,male,40-49
2,female,50-59
16,female,20-29
3,male,30-39
28,female,20-29
13,female,20-29
18,female,20-29
21,female,20-29
13,male,30-39
11,male,15-19
11,female,50-59
8,female,20-29
17,male,30-39
12,female,20-29
12,female,40-49
15,male,30-39
18,female,40-49
12,male,40-49
5,female,30-39
9,female,20-29
34,female,20-29
4,male,20-29
11,male,30-39
14,female,30-39
14,male,30-39
23,male,20-29
7,male,20-29
24,female,20-29
20,male,20-29
18,male,20-29
4,female,30-39
9,male,20-29
26,male,20-29
19,male,20-29
30,female,30-39
33,male,20-29
1,male,30-39
32,male,30-39
16,female,20-29
9,male,40-49
10,male,20-29
11,male,20-29
2,female,40-49
7,female,20-29
7,male,20-29
13,male,40-49
12,female,30-39
7,male,30-39
19,male,20-29
31,female,30-39
4,male,30-39
4,male,30-39
9,male,20-29
19,male,20-29
6,male,40-49
8,male,30-39
12,male,40-49
28,male,20-29
15,male,50-59
34,female,20-29
4,male,50-59
5,female,20-29
11,male,30-39
17,female,20-29
11,male,20-29
13,male,50-59
8,male,40-49
30,male,30-39
11,male,50-59
3,female,20-29
11,female,30-39
15,female,15-19
6,male,50-59
24,male,40-49
34,male,20-29
10,female,50-59
34,male,30-39
13,male,30-39
3,female,30-39
15,male,20-29
6,male,20-29
31,male,15-19
5,male,50-59
3,female,40-49
21,female,40-49
10,male,30-39
28,female,20-29
10,male,20-29
11,male,20-29
19,male,15-19
11,male,50-59
40,female,30-39
10,male,40-49
12,female,30-39
10,female,20-29
36,female,20-29
8,male,50-59
17,male,30-39
20,male,20-29
14,male,20-29
18,male,20-29
20,male,40-49
11,female,40-49
17,female,30-39
10,female,50-59
5,female,30-39
12,male,30-39
14,female,20-29
2,female,30-39
17,male,20-29
22,male,40-49
22,female,15-19
8,male,30-39
7,male,15-19
27,male,20-29
9,male,40-49
12,female,40-49
23,male,40-49
12,male,15-19
8,female,30-39
11,male,20-29
3,male,30-39
4,male,40-49
14,male,20-29
21,female,15-19
12,male,40-49
9,male,50-59
10,female,30-39
16,male,30-39
12,male,20-29
10,female,15-19
22,male,20-29
17,male,20-29
13,male,40-49
16,male,40-49
0,female,50-59
20,male,20-29
2,female,50-59
24,male,40-49
23,male,20-29
24,male,30-39
7,female,30-39
4,male,40-49
20,female,15-19
9,female,15-19
14,male,30-39
32,male,30-39
22,male,40-49
6,male,20-29
6,female,30-39
7,male,50-59
9,female,20-29
6,male,20-29
11,female,20-29
3,female,40-49
27,male,20-29
10,female,20-29
6,male,30-39
18,female,30-39
9,male,30-39
26,male,20-29
12,male,40-49
6,male,20-29
7,male,30-39
4,female,20-29
15,male,20-29
14,male,30-39
15,male,40-49
21,male,40-49
11,male,20-29
14,female,20-29
27,female,20-29
13,male,30-39
1,male,30-39
35,male,40-49
7,female,50-59
24,male,40-49
20,male,40-49
15,female,40-49
9,male,30-39
5,male,20-29
5,female,30-39
9,male,40-49
23,male,20-29
33,female,30-39
17,male,30-39
20,male,40-49
32,male,40-49
3,female,50-59
11,female,20-29
7,female,30-39
13,male,30-39
1,female,40-49
18,male,20-29
22,male,20-29
16,male,30-39
15,male,30-39
1,female,20-29
38,male,20-29
21,male,20-29
7,male,20-29
29,male,20-29
19,male,20-29
16,female,30-39
13,male,30-39
12,male,50-59
4,male,20-29
20,male,15-19
7,female,50-59
10,female,30-39
8,male,30-39
14,female,20-29
12,female,20-29
22,female,20-29
0,female,50-59
10,male,30-39
9,male,20-29
28,male,30-39
4,male,40-49
35,male,20-29
10,female,30-39
18,male,20-29
5,female,20-29
14,female,20-29
4,female,30-39
24,female,30-39
11,female,40-49
10,male,20-29
25,male,20-29
26,male,20-29
16,female,20-29
23,female,20-29
11,male,40-49
7,female,40-49
9,male,20-29
29,female,20-29
8,male,20-29
14,male,30-39
9,male,20-29
25,male,20-29
24,male,30-39
14,male,15-19
8,female,15-19
23,male,20-29
12,male,30-39
4,female,20-29
14,male,15-19
31,male,20-29
14,male,30-39
26,male,20-29
5,female,30-39
12,male,30-39
21,female,30-39
12,male,40-49
24,male,40-49
3,female,30-39
35,female,20-29
19,female,20-29
16,male,15-19
7,female,20-29
13,female,40-49
12,male,50-59
20,male,30-39
9,male,30-39
24,male,30-39
13,male,20-29
13,female,30-39
12,male,40-49
12,female,20-29
3,female,20-29
6,male,20-29
9,male,50-59
16,male,30-39
23,female,20-29
32,female,30-39
5,male,30-39
2,male,30-39
4,male,40-49
3,female,15-19
18,male,20-29
10,male,30-39
17,male,30-39
4,female,20-29
12,male,20-29
16,male,15-19
31,male,40-49
8,female,30-39
10,male,30-39
12,male,40-49
6,male,20-29
3,male,20-29
34,male,30-39
10,female,20-29
9,male,20-29
19,female,20-29
1,female,20-29
3,male,20-29
6,female,20-29
4,male,40-49
10,female,50-59
3,female,50-59
6,female,50-59
27,male,30-39
6,female,15-19
24,male,50-59
11,female,20-29
15,female,40-49
10,female,30-39
7,male,20-29
19,male,20-29
16,male,40-49
9,male,20-29
3,female,30-39
20,male,20-29
6,female,20-29
14,male,20-29
14,female,40-49
15,female,30-39
13,female,20-29
23,female,20-29
12,female,30-39
19,female,30-39
15,female,30-39
13,male,20-29
9,male,50-59
9,male,40-49
11,male,50-59
25,female,40-49
12,male,50-59
8,female,30-39
7,male,40-49
26,male,15-19
13,female,20-29
4,male,30-39
17,male,20-29
13,female,20-29
26,male,20-29
30,male,40-49
1,female,50-59
8,female,20-29
9,male,30-39
19,male,40-49
11,female,30-39
13,male,20-29
19,female,20-29
13,male,20-29
10,female,40-49
9,female,30-39
30,female,15-19
14,male,20-29
4,female,30-39
28,male,15-19
20,male,20-29
6,male,20-29
9,male,30-39
32,female,15-19
17,female,30-39
9,female,20-29
28,female,20-29
1,male,20-29
23,male,20-29
12,male,20-29
18,male,20-29
11,male,40-49
8,female,40-49
6,female,20-29
11,male,50-59
32,male,40-49
40,female,40-49
31,female,40-49
14,female,15-19
7,male,40-49
15,male,15-19
2,female,50-59
30,male,20-29
13,female,30-39
32,female,15-19
26,male,20-29
31,female,40-49
24,male,30-39
3,male,40-49
14,male,20-29
12,male,40-49
8,female,40-49
5,male,20-29
9,female,15-19
7,male,30-39
7,female,20-29
8,male,50-59
8,male,15-19
3,male,30-39
9,male,20-29
12,male,40-49
1,female,20-29
17,male,20-29
13,female,20-29
25,male,30-39
11,male,20-29
15,male,20-29
31,female,15-19
24,male,40-49
22,male,20-29
30,male,50-59
14,male,20-29
26,female,20-29
2,female,30-39
4,female,30-39
18,male,20-29
22,male,15-19
18,male,20-29
11,male,20-29
11,male,20-29
37,male,50-59
4,male,40-49
13,female,15-19
14,male,30-39
14,male,20-29
9,male,30-39
15,female,50-59
11,male,30-39
3,female,40-49
27,female,30-39
20,female,30-39
5,male,20-29
30,female,30-39
18,female,20-29
11,male,30-39
9,female,20-29
29,male,20-29
33,male,20-29
17,male,30-39
23,male,30-39
26,female,20-29
13,female,40-49
8,female,50-59
26,male,30-39
23,male,20-29
17,female,30-39
6,male,20-29
12,male,50-59
7,female,50-59
30,male,15-19
14,male,20-29
12,male,20-29
12,male,15-19
11,male,40-49
18,female,40-49
6,female,40-49
27,male,20-29
15,male,20-29
27,male,15-19
3,female,40-49
8,female,50-59
15,female,30-39
1,female,20-29
4,female,50-59
20,female,30-39
21,female,20-29
8,female,15-19
5,male,30-39
4,male,20-29
15,female,20-29
5,female,20-29
6,male,20-29
15,female,20-29
2,female,30-39
6,male,20-29
2,female,40-49
12,male,20-29
26,male,20-29
8,female,40-49
11,female,40-49
15,male,20-29
20,female,20-29
6,female,50-59
6,male,50-59
13,male,50-59
32,male,40-49
9,male,20-29
11,male,15-19
13,female,50-59
17,male,20-29
16,female,20-29
24,female,15-19
10,male,20-29
20,female,30-39
2,male,20-29
24,female,40-49
6,male,50-59
21,female,20-29
26,male,20-29
16,male,20-29
18,male,20-29
13,male,30-39
5,female,40-49
12,male,20-29
11,female,30-39
10,male,15-19
23,male,20-29
5,female,40-49
6,male,15-19
14,male,50-59
20,female,20-29
24,female,15-19
15,male,30-39
28,female,15-19
2,male,30-39
21,male,15-19
15,male,15-19
4,female,30-39
6,male,20-29
28,female,20-29
10,female,20-29
34,male,15-19
16,female,50-59
6,male,30-39
5,male,30-39
24,male,30-39
6,female,20-29
11,female,20-29
10,female,20-29
6,male,30-39
14,male,15-19
5,male,20-29
8,female,20-29
18,female,20-29
11,female,30-39
26,male,40-49
2,male,40-49
16,male,20-29
36,female,20-29
5,female,50-59
5,male,30-39
14,male,20-29
13,female,30-39
15,male,20-29
40,male,30-39
22,male,15-19
10,male,40-49
34,female,30-39
7,male,15-19
7,male,15-19
9,male,15-19
12,male,15-19
25,male,30-39
16,male,15-19
3,male,15-19
4,male,50-59
28,female,30-39
12,female,40-49
37,male,50-59
14,female,30-39
24,male,20-29
2,female,50-59
11,female,30-39
1,female,50-59
2,male,50-59
12,male,20-29
9,male,20-29
15,female,20-29
10,female,15-19
31,male,50-59
7,female,20-29
21,male,20-29
3,male,20-29
23,female,40-49
17,female,20-29
20,female,15-19
11,female,30-39
14,male,40-49
18,male,30-39
10,female,20-29
13,female,40-49
16,male,40-49
14,female,30-39
10,male,20-29
8,female,40-49
21,female,30-39
3,male,40-49
10,male,30-39
32,female,40-49
21,female,50-59
12,male,50-59
13,male,20-29
5,female,50-59
22,female,30-39
4,female,50-59
4,female,15-19
5,female,15-19
16,male,30-39
10,male,30-39
7,male,30-39
9,female,20-29
6,male,30-39
21,female,30-39
11,female,30-39
26,male,15-19
8,female,30-39
31,male,30-39
8,female,30-39
5,female,40-49
17,male,20-29
5,female,30-39
1,male,40-49
6,male,30-39
12,male,40-49
33,male,15-19
19,male,30-39
6,female,50-59
38,female,20-29
3,female,20-29
4,female,30-39
37,male,40-49
3,female,30-39
14,male,20-29
19,male,30-39
15,male,15-19
8,male,40-49
11,female,40-49
14,female,30-39
10,female,20-29
18,male,30-39
8,female,20-29
15,male,50-59
0,male,20-29
33,male,50-59
18,male,20-29
21,male,20-29
12,female,50-59
8,male,20-29
11,female,30-39
4,male,50-59
7,female,40-49
4,female,20-29
10,female,20-29
25,female,30-39
3,male,20-29
4,female,30-39
6,female,30-39
9,male,30-39
26,female,20-29
26,male,40-49
11,male,50-59
6,female,30-39
12,male,20-29
23,female,20-29
9,male,20-29
19,male,20-29
6,male,30-39
6,male,30-39
9,male,20-29
33,female,30-39
22,male,20-29
17,male,40-49
20,male,20-29
33,male,20-29
15,male,30-39
17,female,20-29
12,male,20-29
5,female,50-59
12,female,40-49
24,male,20-29
9,male,20-29
4,female,30-39
14,female,40-49
30,male,30-39
15,male,30-39
14,male,20-29
26,male,50-59
23,male,40-49
1,female,20-29
8,female,50-59
16,male,20-29
11,female,20-29
39,male,40-49
27,female,30-39
17,male,20-29
5,female,15-19
14,male,30-39
12,male,30-39
7,female,30-39
11,male,40-49
15,male,20-29
29,male,20-29
27,male,15-19
4,male,30-39
11,female,40-49
8,female,30-39
16,male,20-29
23,female,30-39
3,male,30-39
9,female,20-29
0,male,40-49
10,female,20-29
9,male,20-29
5,female,30-39
20,male,20-29
3,male,30-39
25,male,20-29
22,female,20-29
7,male,30-39
23,female,40-49
17,male,15-19
8,female,20-29
26,male,30-39
12,male,50-59
31,female,30-39
12,female,20-29
3,male,20-29
14,male,50-59
6,male,20-29
5,male,50-59
6,female,20-29
23,male,20-29
2,male,30-39
3,male,40-49
6,male,30-39
10,male,30-39
11,female,40-49
37,female,30-39
19,male,20-29
4,male,20-29
18,male,30-39
6,male,30-39
6,female,40-49
25,male,20-29
24,male,20-29
22,male,20-29
28,male,20-29
5,male,50-59
26,male,40-49
15,male,15-19
17,male,20-29
12,female,30-39
2,female,20-29
11,female,30-39
12,male,40-49
21,male,20-29
22,male,20-29
6,male,30-39
15,male,20-29
1,male,50-59
34,male,20-29
14,female,15-19
3,male,30-39
38,male,20-29
33,male,40-49
13,male,20-29
22,male,30-39
10,female,30-39
5,female,20-29
4,female,30-39
3,male,30-39
33,female,40-49
3,female,40-49
11,male,40-49
4,male,30-39
7,male,20-29
3,female,30-39
17,female,30-39
15,female,30-39
4,female,15-19
0,male,40-49
6,female,40-49
10,male,50-59
4,male,20-29
15,female,30-39
17,male,15-19
5,male,20-29
15,male,20-29
11,male,20-29
1,male,20-29
17,female,40-49
25,male,20-29
28,female,20-29
2,female,30-39
2,female,30-39
12,male,50-59
25,male,20-29
13,female,15-19
6,male,30-39
3,male,30-39
18,male,30-39
14,male,30-39
7,female,30-39
9,male,20-29
20,female,20-29
21,male,30-39
23,male,15-19
17,female,30-39
5,male,50-59
30,male,15-19
14,female,20-29
3,female,50-59
30,male,30-39
4,female,40-49
9,male,20-29
21,male,20-29
16,female,15-19
25,male,20-29
39,male,30-39
15,female,30-39
4,male,15-19
4,female,50-59
23,male,30-39
17,female,20-29
4,male,30-39
12,female,30-39
7,male,30-39
22,female,20-29
8,male,40-49
26,male,15-19
36,male,50-59
18,male,30-39
12,male,50-59
3,male,40-49
9,male,40-49
17,male,20-29
22,male,15-19
10,male,40-49
10,male,50-59
6,female,20-29
10,male,15-19
20,female,20-29
10,male,15-19
13,female,30-39
6,male,30-39
31,male,30-39
20,male,20-29
3,male,50-59
25,female,20-29
22,male,20-29
9,male,20-29
10,female,50-59
11,female,30-39
26,male,20-29
37,female,15-19
13,female,15-19
3,female,20-29
12,male,20-29
29,male,20-29
16,female,30-39
15,male,20-29
3,male,40-49
34,male,20-29
16,female,20-29
29,female,30-39
17,female,40-49
12,male,50-59
7,female,40-49
18,male,15-19
24,male,20-29
7,male,30-39
6,female,30-39
3,male,40-49
28,male,20-29
10,male,40-49
30,male,15-19
13,male,30-39
3,male,20-29
36,male,50-59
14,female,40-49
24,male,20-29
11,female,40-49
35,male,20-29
11,male,30-39
17,male,40-49
11,male,30-39
2,male,40-49
9,male,20-29
19,male,30-39
2,female,20-29
16,female,15-19
9,male,40-49
2,male,50-59
16,female,15-19
18,male,30-39
32,male,30-39
2,male,50-59
14,male,30-39
10,female,20-29
6,male,50-59
13,male,20-29
16,male,20-29
22,female,20-29
26,male,40-49
12,female,15-19
20,female,40-49
7,male,20-29
11,male,15-19
10,male,40-49
38,male,15-19
0,female,40-49
1,male,40-49
17,female,20-29
21,male,30-39
35,male,30-39
9,female,30-39
16,female,40-49
8,male,40-49
2,male,50-59
4,male,30-39
15,male,20-29
6,male,50-59
11,male,20-29
9,female,30-39
23,male,20-29
2,male,40-49
17,female,50-59
12,female,40-49
23,male,30-39
6,female,40-49
1,female,50-59
5,female,50-59
13,female,30-39
5,female,40-49
13,male,30-39
6,male,20-29
12,male,40-49
11,female,50-59
21,male,15-19
18,male,20-29
8,male,20-29
5,female,40-49
15,female,20-29
6,male,20-29
9,male,20-29
10,female,20-29
16,male,50-59
1,female,30-39
18,female,15-19
22,male,30-39
32,male,40-49
18,male,20-29
14,male,50-59
3,male,30-39
6,female,20-29
22,male,20-29
10,female,20-29
20,male,20-29
8,male,20-29
8,male,20-29
21,male,30-39
5,male,50-59
11,male,20-29
14,male,40-49
7,male,40-49
12,female,50-59
8,male,15-19
15,female,20-29
31,female,20-29
21,male,40-49
26,male,40-49
23,male,20-29
12,female,15-19
12,male,30-39
14,male,40-49
9,male,40-49
14,female,20-29
0,female,20-29
5,female,30-39
9,male,20-29
11,male,30-39
21,male,30-39
7,female,30-39
21,male,30-39
27,female,40-49
12,male,40-49
21,male,20-29
7,male,20-29
7,male,50-59
0,male,20-29
17,male,20-29
12,male,30-39
9,female,30-39
27,male,20-29
18,female,15-19
9,male,40-49
18,male,20-29
7,female,40-49
8,male,40-49
10,male,15-19
3,female,15-19
31,female,40-49
20,female,40-49
12,male,50-59
10,female,20-29
25,male,15-19
7,male,30-39
24,female,15-19
10,male,30-39
16,female,20-29
21,female,20-29
7,male,20-29
28,female,15-19
4,female,50-59
11,male,40-49
13,female,15-19
2,female,40-49
34,female,40-49
7,female,20-29
13,female,20-29
10,female,30-39
19,female,20-29
14,male,40-49
22,female,20-29
19,male,15-19
13,female,15-19
14,male,30-39
3,female,40-49
7,female,20-29
12,male,20-29
26,male,15-19
12,female,20-29
25,male,30-39
33,female,20-29
5,male,20-29
14,male,20-29
8,male,20-29
27,male,30-39
6,female,20-29
0,male,30-39
14,female,30-39
9,female,30-39
1,female,50-59
3,male,15-19
1,female,50-59
4,male,20-29
13,male,40-49
25,male,30-39
25,female,30-39
7,male,30-39
29,female,20-29
11,female,20-29
15,female,30-39
15,male,20-29
7,female,30-39
23,male,50-59
6,female,30-39
16,female,20-29
9,female,20-29
15,male,20-29
28,male,40-49
0,female,40-49
21,male,15-19
25,male,15-19
16,male,20-29
11,female,30-39
3,male,40-49
16,female,20-29
39,female,30-39
25,female,20-29
36,male,15-19
20,female,30-39
11,male,20-29
13,male,50-59
4,female,15-19
8,female,15-19
14,male,15-19
